date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013/11/19,947132833.017,75799.0,8559550000.0,584.61,0.0,4025.0,26.41407843,
2013/11/20,1290370303.94,92422.0,6943300000.0,590.83,0.0,3875.0,31.93759606,
2013/11/21,1071900791.41,76163.0,7142030000.0,722.43,0.0,4050.0,24.68355579,
2013/11/22,1531148119.09,73554.0,8703970000.0,771.44,0.0,3775.0,27.43937783,
2013/11/23,1962436495.0,74265.0,9279850000.0,797.82,0.0,4125.0,22.9362431,
2013/11/24,1115555396.76,75912.0,9570990000.0,774.25,0.0,4250.0,21.9836546,
2013/11/25,1095960661.21,60158.0,9302270000.0,799.11,0.0,4325.0,17.35049784,
2013/11/26,1216386766.26,69339.0,9699360000.0,928.1,0.0,4225.0,18.80179217,
2013/11/27,3726787179.62,83985.0,11124900000.0,1001.96,0.0,4150.0,25.39879114,
2013/11/28,3445296937.43,91222.0,12087000000.0,1031.95,0.0,4125.0,29.19003834,
2013/11/29,3663192056.87,102420.0,12557100000.0,1131.97,0.0,4575.0,32.05497938,
2013/11/30,2907106209.04,89181.0,13614700000.0,1129.43,0.0,4625.0,25.70233917,
2013/12/01,1767088323.16,78048.0,13614300000.0,955.85,0.0,3975.0,21.28080832,
2013/12/02,1443680544.77,69542.0,11478300000.0,1043.33,0.0,5000.0,18.40424631,
2013/12/03,1459997298.66,74390.0,12628300000.0,1078.28,0.0,4075.0,19.80758844,
2013/12/04,1333063650.85,76946.0,13010000000.0,1151.17,0.0,4825.0,21.26095339,
2013/12/05,1350227137.84,78176.0,13922300000.0,1045.11,0.0,4250.0,20.81424327,
2013/12/06,1189287608.23,87783.0,12593900000.0,829.45,0.0,4525.0,23.47744562,
2013/12/07,754076996.864,69387.0,10096600000.0,698.23,0.0,5000.0,18.47145997,
2013/12/08,1778798579.01,72618.0,8431860000.0,795.87,0.0,4850.0,38.91473896,
2013/12/09,1170848800.83,48186.0,9602480000.0,893.19,0.0,4675.0,11.99139562,
2013/12/10,1149945284.62,59913.0,10798200000.0,988.51,0.0,4700.0,13.42369633,
2013/12/11,729324013.004,67144.0,11973700000.0,878.48,0.0,5000.0,19.90798381,
2013/12/12,916585852.642,67952.0,10690600000.0,873.26,0.0,4075.0,17.70167652,
2013/12/13,706996523.251,60084.0,10599700000.0,892.58,0.0,4025.0,14.94880582,
2013/12/14,842192263.476,59134.0,10904900000.0,872.6,0.0,4150.0,14.97650797,
2013/12/15,554062304.523,55718.0,10611600000.0,876.12,0.0,5100.0,12.8834059,
2013/12/16,301209088.875,51152.0,10676600000.0,705.97,0.0,4500.0,11.38158099,
2013/12/17,1193056479.93,65814.0,8570390000.0,682.12,0.0,4850.0,14.67872094,
2013/12/18,893701654.741,69180.0,8232040000.0,522.7,0.0,4950.0,15.74729292,
2013/12/19,1348080242.45,81123.0,6302970000.0,691.96,0.0,5075.0,18.50497338,
2013/12/20,803188258.395,69391.0,8433870000.0,625.32,0.0,5575.0,15.87073277,
2013/12/21,595640765.222,69161.0,7533740000.0,605.66,0.0,4875.0,16.25276879,
2013/12/22,608671963.623,56116.0,7315940000.0,617.18,0.0,3925.0,14.05811592,
2013/12/23,540493757.533,51574.0,7455670000.0,673.41,0.0,4250.0,11.24091641,
2013/12/24,458110484.764,52016.0,8179730000.0,665.58,0.0,4000.0,11.64532734,
